nome,outros_nomes,nome_tabela,slug,url_pagina,organizacao_indice,nacao_indice,tipo_u_massa,data_lancamento,status_indice,descricao_indice,foto,nome_ficha,tipo_espacial,unidades_massa,massa_kg,status,lancado_em,norad_id,orbita,deployer,lancador,organizacao,operador,fabricante,instituicao,tipo_entidade,pais,pais_integracao,sede,intermediario_lancamento,custos_ficha,oneliner,keywords_ficha,servico_estacao_solo,sistema_controle_missao,url_custo,urls_resultados,url_status,keywords_site,n_fontes,n_fotos,ultima_modificacao,categoria_coleta,sr_forte,sr_fraco,dcs_iot,sinais,no_recorte,evidencia_sr,evidencia_dcs,evidencia_sinais,contexto,alvo_fora_da_terra,carga_radioamador,tem_custo_declarado,tem_resultados
TUBSAT-N,,TUBSAT-N,tubsat-n,https://www.nanosats.eu/sat/tubsat-n.html,Technical University of Berlin,Germany,8.5 kg,1998-07-07,"Reentered, Was operational",Store and forward communication.,https://www.nanosats.eu/img/sat/tubsat-n__1.jpg,TUBSAT-N,Nanosatellite,8.5 kg,,Reentry 2002-04-22. Was operational until 2000-XX-XX. More than two years of operation.,1998-07-07,25389,,Custom,Shtil,Technical University of Berlin,,,University,Academic / Education,Germany,,,Unknown,,Store and forward communication.,,,,,,http://screem.engr.scu.edu/artemis/,,2,2,2023-06-03,B - coleta de plataformas (DCS/IoT),não,não,sim,não,sim,,store-and-forward; sensores/plataformas remotas,,comunicação,não,não,não,não
TUBSAT-N1,,TUBSAT-N1,tubsat-n1,https://www.nanosats.eu/sat/tubsat-n1.html,Technical University of Berlin,Germany,3 kg,1998-07-07,"Reentered, Was operational",Store and forward communication.,https://www.nanosats.eu/img/sat/tubsat-n1__1.jpg,TUBSAT-N1,Nanosatellite,3 kg,,Reentry 2000-10-20. Was operational until 1999-XX-XX. About 1 year operation.,1998-07-07,25390,,Custom,Shtil,Technical University of Berlin,,,University,,Germany,,,Unknown,,Store and forward communication.,,,,,,http://screem.engr.scu.edu/artemis/,,1,1,2023-06-03,B - coleta de plataformas (DCS/IoT),não,não,sim,não,sim,,store-and-forward,,comunicação,não,não,não,não
Artemis JAK,"MASat, Picosat 5","Artemis JAK (MASat, Picosat 5)",artemis-jak,https://www.nanosats.eu/sat/artemis-jak.html,Santa Clara University,US,0.2 kg,2000-01-27,No signal,Simple beacon transmitter.,https://www.nanosats.eu/img/sat/Artemis%20JAK.jpg,"Artemis JAK (MASat, Picosat 5)",Picosatellite,0.2 kg,,No signal,2000-01-27,26093,,OPAL,Minotaur I,Santa Clara University,,,University,,US,,,,,Simple beacon transmitter.,,,,,,http://screem.engr.scu.edu/artemis/,,3,2,2023-06-03,—,não,não,não,não,não,,,,,não,não,não,não
Artemis Louise,"Lightning, Picosat 8","Artemis Louise (Lightning, Picosat 8)",artemis-louise,https://www.nanosats.eu/sat/artemis-louise.html,Santa Clara University,US,0.895 kg,2000-01-27,No signal,Research the effects of lightning on the outer ionosphere.,"https://www.nanosats.eu/img/sat/Artemis%20Thelma,%20Louise,%20JAK.jpg","Artemis Louise (Lightning, Picosat 8)",Picosatellite,0.895 kg,,No signal,2000-01-27,26092,,OPAL,Minotaur I,Santa Clara University,,,University,,US,,,,,Research the effects of lightning on the outer ionosphere.,,,,,,http://screem.engr.scu.edu/artemis/,,3,1,2023-06-03,—,não,não,não,não,não,,,,ciência,não,não,não,não
Artemis Thelma,"Thunder, Picosat 7","Artemis Thelma (Thunder, Picosat 7)",artemis-thelma,https://www.nanosats.eu/sat/artemis-thelma.html,Santa Clara University,US,0.6 kg,2000-01-27,No signal,Research the effects of lightning on the outer ionosphere.,"https://www.nanosats.eu/img/sat/Artemis%20Thelma,%20Louise,%20JAK.jpg","Artemis Thelma (Thunder, Picosat 7)",Picosatellite,0.6 kg,,No signal,2000-01-27,26091,,OPAL,Minotaur I,Santa Clara University,,,University,Academic / Education,US,,,,,Research the effects of lightning on the outer ionosphere.,,,,,,http://screem.engr.scu.edu/artemis/,,3,1,2023-06-03,—,não,não,não,não,não,,,,ciência,não,não,não,não
ASUSat 1,Arizona State University Satellite,ASUSat 1 (Arizona State University Satellite),asusat-1,https://www.nanosats.eu/sat/asusat-1.html,Arizona State University,US,6 kg,2000-01-27,Was operational,Educational space systems engineering and Earth imaging.,https://www.nanosats.eu/img/sat/asusat-1__1.jpg,ASUSat 1 (Arizona State University Satellite),Nanosatellite,6 kg,,Was operational until 2000-01-28. 14 hours.,2000-01-27,26065,,Custom,Minotaur I,Arizona State University,,,University,Academic / Education,US,,,,,Educational space systems engineering and Earth imaging.,,,,,,https://nasa.asu.edu/content/asusat1?destination=node%2F35,,2,2,2023-06-03,A - sensoriamento remoto,sim,não,não,não,sim,imagens da Terra,,,educação; comunicação,não,não,não,não
MEMS 1A,"Pico 21, PICOSAT-1, OPAL PICOSATS","MEMS 1A (Pico 21, PICOSAT-1, OPAL PICOSATS)",mems,https://www.nanosats.eu/sat/mems.html,DARPA,US,0.275 kg,2000-01-27,Was operational,Demonstrate the basic functional elements of a low-power LEO “swarm” or formation PICOSAT array.,https://www.nanosats.eu/img/sat/OPAL-PicoSats.png,MEMS (Picosat),Picosatellite,0.275 kg,,,,,,,,DARPA,Aerospace Corp,"AIVT by
Aerospace Corporation",Military,,,,US,,,Demonstrate the basic functional elements of a low-power LEO “swarm” or formation PICOSAT array.,Tether,,,,,,CubeSats with keyword: Tether,5,5,2024-09-06,—,não,não,não,não,não,,,,comunicação,não,não,não,não
MEMS 1B,"Pico 23, Picosat 1, OPAL PICOSATS","MEMS 1B (Pico 23, Picosat 1, OPAL PICOSATS)",mems,https://www.nanosats.eu/sat/mems.html,DARPA,US,0.275 kg,2000-01-27,Was operational,Demonstrate the basic functional elements of a low-power LEO “swarm” or formation PICOSAT array.,https://www.nanosats.eu/img/sat/OPAL-PicoSats.png,MEMS (Picosat),Picosatellite,0.275 kg,,,,,,,,DARPA,Aerospace Corp,"AIVT by
Aerospace Corporation",Military,,,,US,,,Demonstrate the basic functional elements of a low-power LEO “swarm” or formation PICOSAT array.,Tether,,,,,,CubeSats with keyword: Tether,5,5,2024-09-06,—,não,não,não,não,não,,,,comunicação,não,não,não,não
StenSat,Picosat 6,StenSat (Picosat 6),stensat,https://www.nanosats.eu/sat/stensat.html,Stensat Group,US,0.2 kg,2000-01-27,No signal,Voice repeater for amateur radio operators.,https://www.nanosats.eu/img/sat/StenSat.jpg,StenSat (Picosat 6),Picosatellite,0.2 kg,,No signal,2000-01-27,26094,,OPAL,Minotaur I,Stensat Group,,,Company,Commercial,US,,,,,Voice repeater for amateur radio operators.,,,,,,https://directory.eoportal.org/web/eoportal/satellite-missions/o/opal,,2,1,2023-06-03,—,não,não,não,não,não,,,,comunicação,não,sim,não,não
SNAP-1,Surrey Nanosatellite Applications Platform,SNAP-1 (Surrey Nanosatellite Applications Platform),snap-1,https://www.nanosats.eu/sat/snap-1.html,Surrey Satellite Technology,UK,6.5 kg,2000-06-28,Was operational,"SNAP-1 nanosatellite, weighing 6.3kg, had a number of firsts, including what we believe to be the first nanosat with propulsion.",https://www.nanosats.eu/img/sat/SNAP-Nanosatellite.jpg,SNAP-1 (Surrey Nanosatellite Applications Platform),Nanosatellite,6.5 kg,,Was operational until ?,2000-06-28,26386,,Custom,Kosmos-3M,Surrey Satellite Technology,,,Company,Commercial,,,UK,,,"SNAP-1 nanosatellite, weighing 6.3kg, had a number of firsts, including what we believe to be the first nanosat with propulsion.",Propulsion,,,,,,CubeSats with keyword: Propulsion,4,1,2024-12-15,A(fraco) - câmera sem alvo declarado,não,sim,não,não,não,câmera a bordo,,,comunicação,não,não,não,não
