norad,nome,categoria_n2yo,categoria_coleta,no_recorte
5,,Space & Earth Science,,não
11,,Space & Earth Science,,não
20,,Space & Earth Science,,não
22,,Space & Earth Science,,não
27,,Space & Earth Science,,não
29,,Weather,,não
45,,Navy Navigation Satellite System,,não
46,,Space & Earth Science,,não
58,,Experimental,,não
58,,Military,,não
80,,Space & Earth Science,,não
107,,Space & Earth Science,,não
112,,Space & Earth Science,,não
113,,Space & Earth Science,,não
116,,Navy Navigation Satellite System,,não
117,,Space & Earth Science,,não
162,,Weather,,não
163,,Military,,não
192,,Military,,não
202,,Navy Navigation Satellite System,,não
205,,Space & Earth Science,,não
221,,Space & Earth Science,,não
226,,Weather,,não
271,,Military,,não
309,,Weather,,não
340,,Space & Earth Science,,não
369,,Military,,não
374,,Space & Earth Science,,não
397,,Weather,,não
424,,Space & Earth Science,,não
439,,Space & Earth Science,,não
446,,Military,,não
450,,Space & Earth Science,,não
503,,Space & Earth Science,,não
506,,Space & Earth Science,,não
553,,Geostationary,,não
566,,Space & Earth Science,,não
573,,Space & Earth Science,,não
574,,Military,,não
589,,Experimental,,não
602,,Westford Needles,,não
608,,Military,,não
622,,Military,,não
628,,Westford Needles,,não
629,,Westford Needles,,não
634,,Geostationary,,não
635,,Military,,não
670,,Navy Navigation Satellite System,,não
671,,Space & Earth Science,,não
674,,Military,,não
692,,Military,,não
694,,Brightest,,não
702,,Westford Needles,,não
704,,Navy Navigation Satellite System,,não
705,,Navy Navigation Satellite System,,não
716,,Weather,,não
728,,Engineering,,não
729,,Military,,não
730,,Space & Earth Science,,não
731,,Military,,não
733,,Brightest,,não
734,,Military,,não
735,,Military,,não
737,,Space & Earth Science,,não
746,,Space & Earth Science,,não
785,,Space & Earth Science,,não
801,,Navy Navigation Satellite System,,não
812,,Space & Earth Science,,não
813,,Military,,não
829,,Space & Earth Science,,não
836,,Military,,não
837,,Military,,não
858,,Geostationary,,não
870,,Space & Earth Science,,não
876,,Weather,,não
877,,Brightest,,não
897,,Navy Navigation Satellite System,,não
899,,Space & Earth Science,,não
900,,Radar Calibration,,não
902,,Radar Calibration,,não
923,,Space & Earth Science,,não
932,,Space & Earth Science,,não
938,,Space & Earth Science,,não
945,,Space & Earth Science,,não
959,,Navy Navigation Satellite System,,não
965,,Navy Navigation Satellite System,,não
978,,Weather,,não
1001,,Experimental,,não
1002,,Engineering,,não
1208,,Military,,não
1244,,Engineering,,não
1271,,Military,,não
1272,,Radar Calibration,,não
1291,,Space & Earth Science,,não
1292,,Engineering,,não
1293,,Amateur radio,,não
1314,,Experimental,,não
1314,,Military,,não
1315,,Military,,não
1317,,Intelsat,,não
1328,,Space & Earth Science,,não
1360,,Engineering,,não
1361,,Radar Calibration,,não
1393,,Space & Earth Science,,não
1420,,Navy Navigation Satellite System,,não
1430,,Weather,,não
1454,,Space & Earth Science,,não
1458,,Military,,não
1459,,Military,,não
1503,,Engineering,,não
1506,,Military,,não
1510,,Radar Calibration,,não
1512,,Radar Calibration,,não
1514,,Navy Navigation Satellite System,,não
1515,,Radar Calibration,,não
1520,,Radar Calibration,,não
1570,,Strela,,não
1571,,Strela,,não
1572,,Strela,,não
1573,,Strela,,não
1574,,Strela,,não
1577,,Radar Calibration,,não
1580,,Weather,,não
1584,,Strela,,não
1585,,Strela,,não
1586,,Strela,,não
1587,,Strela,,não
1588,,Strela,,não
1613,,Space & Earth Science,,não
1641,,Space & Earth Science,,não
1726,,Space & Earth Science,,não
1730,,Space & Earth Science,,não
1738,,Space & Earth Science,,não
1778,,Engineering,,não
1804,,Space & Earth Science,,não
1806,,Space & Earth Science,,não
1814,,Space & Earth Science,,não
1841,,Space & Earth Science,,não
1864,,Navy Navigation Satellite System,,não
1952,,Navy Navigation Satellite System,,não
1982,,Weather,,não
2016,,Space & Earth Science,,não
2091,,Weather,,não
2119,,Navy Navigation Satellite System,,não
2121,,Experimental,,não
2122,,Space & Earth Science,,não
2125,,Weather,,não
2126,,Space & Earth Science,,não
2142,,Space & Earth Science,,não
2150,,Space & Earth Science,,não
2176,,Navy Navigation Satellite System,,não
2201,,Space & Earth Science,,não
2207,,Geostationary,,não
2215,,Military,,não
2216,,Military,,não
2217,,Military,,não
2218,,Military,,não
2219,,Military,,não
2220,,Military,,não
2221,,Military,,não
2258,,Space & Earth Science,,não
2359,,Westford Needles,,não
2361,,Westford Needles,,não
2362,,Westford Needles,,não
2364,,Westford Needles,,não
2365,,Westford Needles,,não
2367,,Westford Needles,,não
2372,,Westford Needles,,não
2375,,Westford Needles,,não
2377,,Westford Needles,,não
2378,,Westford Needles,,não
2380,,Westford Needles,,não
2381,,Westford Needles,,não
2389,,Space & Earth Science,,não
2398,,Space & Earth Science,,não
2401,,Navy Navigation Satellite System,,não
2402,,Space & Earth Science,,não
2403,,Military,,não
2406,,Space & Earth Science,,não
2411,,Military,,não
2412,,Military,,não
2418,,Space & Earth Science,,não
2431,,Westford Needles,,não
2435,,Weather,,não
2481,,Military,,não
2508,,Space & Earth Science,,não
2514,,Intelsat,,não
2520,,Military,,não
2530,,Westford Needles,,não
2531,,Westford Needles,,não
2532,,Westford Needles,,não
2608,,Engineering,,não
2610,,Space & Earth Science,,não
2639,,Intelsat,,não
2645,,Military,,não
2649,,Military,,não
2650,,Military,,não
2651,,Military,,não
2652,,Military,,não
2653,,Military,,não
2654,,Military,,não
2655,,Experimental,,não
2655,,Military,,não
2657,,Weather,,não
2669,,Space & Earth Science,,não
2674,,Space & Earth Science,,não
2680,,Space & Earth Science,,não
2717,,Intelsat,,não
2754,,Navy Navigation Satellite System,,não
2757,,Weather,,não
2765,,Military,,não
2766,,Military,,não
2767,,Military,,não
2768,,Space & Earth Science,,não
2769,,Space & Earth Science,,não
2796,,Westford Needles,,não
2801,,Tsiklon,,não
2802,,Brightest,,não
2807,,Navy Navigation Satellite System,,não
2826,,Radar Calibration,,não
2828,,Engineering,,não
2834,,Engineering,,não
2845,,Space & Earth Science,,não
2847,,Military,,não
2861,,Military,,não
2862,,Military,,não
2863,,Military,,não
2864,,Military,,não
2865,,Military,,não
2866,,Geostationary,,não
2867,,Geostationary,,não
2872,,Radar Calibration,,não
2873,,Radar Calibration,,não
2874,,Radar Calibration,,não
2876,,Space & Earth Science,,não
2884,,Space & Earth Science,,não
2920,,Space & Earth Science,,não
2933,,Westford Needles,,não
2949,,Westford Needles,,não
2965,,Navy Navigation Satellite System,,não
2969,,Intelsat,,não
2980,,Space & Earth Science,,não
2997,,Westford Needles,,não
3029,,Engineering,,não
